"","X","Title","Author","Subject","Abstract","Meta"
"31",31,"effective medium properties of stealthy hyperuniform photonic structures using multiscale physics-informed neural networks","roberto riganti, yilin zhu, wei cai, salvatore torquato, luca dal negro","optics (physics.optics)","in this article, we employ multiscale physics-informed neural networks (mscalepinns) for the inverse retrieval of the effective permittivity and homogenization of finite-size photonic media with stealthy hyperuniform (shu) disordered geometries. specifically, we show that mscalepinns are capable of capturing the fast spatial variations of complex fields scattered by arrays of dielectric nanocylinders arranged according to isotropic shu point patterns, thus enabling a systematic methodology to inverse retrieve their effective dielectric profiles. our approach extends the recently developed high-frequency homogenization theory of hyperuniform media and retrieves more general permittivity profiles for applications-relevant finite-size shu systems, unveiling unique features related to their isotropic nature. in particular, we demonstrate the existence of a transparency region beyond the long-wavelength approximation, enabling effective and isotropic homogenization even without disorder-averaging, in contrast to the case of uncorrelated poisson random patterns. we believe that the multiscale network approach introduced here enables the efficient inverse design of general effective media and finite-size metamaterials with isotropic electromagnetic responses beyond the limitations of traditional homogenization theories.",2024-05-13
"32",32,"constructing a bpe tokenization dfa","martin berglund, willeke martens, brink van der merwe","formal languages and automata theory (cs.fl)","many natural language processing systems operate over tokenizations of text to address the open-vocabulary problem. in this paper, we give and analyze an algorithm for the efficient construction of deterministic finite automata designed to operate directly on tokenizations produced by the popular byte pair encoding technique. this makes it possible to apply many existing techniques and algorithms to the tokenized case, such as pattern matching, equivalence checking of tokenization dictionaries, and composing tokenized languages in various ways.",2024-05-13
"33",33,"g-voila: gaze-facilitated information querying in daily scenarios","zeyu wang, yuanchun shi, yuntao wang, yuchen yao, kun yan, yuhan wang, lei ji, xuhai xu, chun yu","human-computer interaction (cs.hc)","modern information querying systems are progressively incorporating multimodal inputs like vision and audio. however, the integration of gaze -- a modality deeply linked to user intent and increasingly accessible via gaze-tracking wearables -- remains underexplored. this paper introduces a novel gaze-facilitated information querying paradigm, named g-voila, which synergizes users' gaze, visual field, and voice-based natural language queries to facilitate a more intuitive querying process. in a user-enactment study involving  participants in  daily scenarios (p = , scene = ), we revealed the ambiguity in users' query language and a gaze-voice coordination pattern in users' natural query behaviors with g-voila. based on the quantitative and qualitative findings, we developed a design framework for the g-voila paradigm, which effectively integrates the gaze data with the in-situ querying context. then we implemented a g-voila proof-of-concept using cutting-edge deep learning techniques. a follow-up user study (p = , scene = ) demonstrates its effectiveness by achieving both higher objective score and subjective score, compared to a baseline without gaze data. we further conducted interviews and provided insights for future gaze-facilitated information querying systems.",2024-05-13
"34",34,"inas on insulator: a new platform for cryogenic hybrid superconducting electronics","alessandro paghi, giacomo trupiano, giorgio de simoni, omer arif, lucia sorba, francesco giazotto","superconductivity (cond-mat.supr-con)","superconducting circuits based on hybrid inas josephson junctions (jjs) play a starring role in the design of fast and ultra-low power consumption solid-state quantum electronics and exploring novel physical phenomena. conventionally, d substrates, d quantum wells (qws), and d nanowires (nws) made of inas are employed to create superconductive circuits with hybrid jjs. each platform has its advantages and disadvantages. here, we proposed the inas-on-insulator (inasoi) as a groundbreaking platform for developing superconducting electronics. an epilayer of semiconductive inas with different electron densities was grown onto an inalas metamorphic buffer layer, efficiently used as a cryogenic insulator to decouple adjacent devices electrically. jjs with various lengths and widths were fabricated employing al as a superconductor and inas with different electron densities. we achieved a switching current density of . ua/um, a critical voltage of -to- uv, and a critical temperature equal to that of the superconductor used. for all the jjs, the switching current follows a characteristic fraunhofer pattern with an out-of-plane magnetic field. these achievements enable the use of inasoi to design and fabricate surface-exposed josephson field effect transistors with high critical current densities and superior gating properties.",2024-05-13
"35",35,"anomalyllm: few-shot anomaly edge detection for dynamic graphs using large language models","shuo liu, di yao, lanting fang, zhetao li, wenbin li, kaiyu feng, xiaowen ji, jingping bi","machine learning (cs.lg)","detecting anomaly edges for dynamic graphs aims to identify edges significantly deviating from the normal pattern and can be applied in various domains, such as cybersecurity, financial transactions and aiops. with the evolving of time, the types of anomaly edges are emerging and the labeled anomaly samples are few for each type. current methods are either designed to detect randomly inserted edges or require sufficient labeled data for model training, which harms their applicability for real-world applications. in this paper, we study this problem by cooperating with the rich knowledge encoded in large language models(llms) and propose a method, namely anomalyllm. to align the dynamic graph with llms, anomalyllm pre-trains a dynamic-aware encoder to generate the representations of edges and reprograms the edges using the prototypes of word embeddings. along with the encoder, we design an in-context learning framework that integrates the information of a few labeled samples to achieve few-shot anomaly detection. experiments on four datasets reveal that anomalyllm can not only significantly improve the performance of few-shot anomaly detection, but also achieve superior results on new anomalies without any update of model parameters.",2024-05-13
"36",36,"random walk model that universally generates inverse square lévy walk by eliminating search cost minimization constraint","shuji shinohara, daiki morita, hayato hirai, ryosuke kuribayashi, nobuhito manome, toru moriyama, hiroshi okamoto, yoshihiro nakajima, pegio-yukio gunji, ung-il chung","multiagent systems (cs.ma)","the lévy walk, a type of random walk characterized by linear step lengths that follow a power-law distribution, is observed in the migratory behaviors of various organisms, ranging from bacteria to humans. notably, lévy walks with power exponents close to two are frequently observed, though their underlying causes remain elusive. this study introduces a simplified, abstract random walk model designed to produce inverse square lévy walks, also known as cauchy walks and explores the conditions that facilitate these phenomena. in our model, agents move toward a randomly selected destination in multi-dimensional space, and their movement strategy is parameterized by the extent to which they pursue the shortest path. when the search cost is proportional to the distance traveled, this parameter effectively reflects the emphasis on minimizing search costs. our findings reveal that strict adherence to this cost minimization constraint results in a brownian walk pattern. however, removing this constraint transitions the movement to an inverse square lévy walk. therefore, by modulating the prioritization of search costs, our model can seamlessly alternate between brownian and cauchy walk dynamics. this model has the potential to be utilized for exploring the parameter space of an optimization problem.",2024-05-13
"37",37,"hell is paved with good intentions: the intricate relationship between cognitive biases and dark patterns","thomas mildner, albert inkoom, rainer malaka, jasmin niess","human-computer interaction (cs.hc)","throughout the past decade, research in hci has identified numerous instances of dark patterns in digital interfaces. these efforts have led to a well-fostered typology describing harmful strategies users struggle to navigate. however, an in-depth understanding of the underlying mechanisms that deceive, coerce, or manipulate users is missing. we explore the interplay between cognitive biases and dark patterns to address this gap. to that end, we conducted four focus groups with experts (n=) in psychology and dark pattern scholarship, inquiring how they conceptualise the relation between cognitive biases and dark patterns. based on our results, we constructed the ""relationship model of cognitive biases and dark patterns"" which illustrates how cognitive bias and deceptive design patterns relate and identifies opportune moments for ethical reconsideration and user protection mechanisms. our insights contribute to the current discourse by emphasising ethical design decisions and their implications in the field of hci.",2024-05-12
"38",38,"fields, bridges, and foundations: how researchers browse citation network visualizations","kiroong choe, eunhye kim, sangwon park, jinwook seo","human-computer interaction (cs.hc)","visualizing citation relations with network structures is widely used, but the visual complexity can make it challenging for individual researchers to navigate through them. we collected data from  researchers using an interface that we designed using network simplification methods and analyzed how users browsed and identified important papers. our analysis reveals six major patterns used for identifying papers of interest, which can be categorized into three key components: fields, bridges, and foundations, each viewed from two distinct perspectives: layout-oriented and connection-oriented. the connection-oriented approach was found to be more effective for selecting relevant papers, but the layout-oriented method was adopted more often, even though it led to unexpected results and user frustration. our findings emphasize the importance of integrating these components and the necessity to balance visual layouts with meaningful connections to enhance the effectiveness of citation networks in academic browsing systems.",2024-05-12
"39",39,"a continuum geometric approach for inverse design of origami structures","alon sardas, michael moshe, cy maor","soft condensed matter (cond-mat.soft)","miura-ori, a celebrated origami pattern that facilitates functionality in matter, has found multiple applications in the field of mechanical metamaterials. modifications of miura-ori pattern can produce curved configurations during folding, thereby enhancing its potential functionalities. thus, a key challenge in designing generalized miura-ori structures is to tailor their folding patterns to achieve desired geometries. in this work, we address this inverse-design problem by developing a new continuum framework for the differential geometry of generalized miura-ori. by assuming that the perturbation to the classical miura-ori is slowly varying in space, we derive analytical relations between geometrical properties and the perturbation field. these relationships are shown to be invertible, allowing us to design complex curved geometries. our framework enables porting knowledge, methods and tools from continuum theories of matter and differential geometry to the field of origami metamaterials.",2024-05-12
"40",40,"chained flexible capsule endoscope: unraveling the conundrum of size limitations and functional integration for gastrointestinal transitivity","sishen yuan, guang li, baijia liang, lailu li, qingzhuo zheng, shuang song, zhen li, hongliang ren","medical physics (physics.med-ph)","capsule endoscopes, predominantly serving diagnostic functions, provide lucid internal imagery but are devoid of surgical or therapeutic capabilities. consequently, despite lesion detection, physicians frequently resort to traditional endoscopic or open surgical procedures for treatment, resulting in more complex, potentially risky interventions. to surmount these limitations, this study introduces a chained flexible capsule endoscope (fce) design concept, specifically conceived to navigate the inherent volume constraints of capsule endoscopes whilst augmenting their therapeutic functionalities. the fce's distinctive flexibility originates from a conventional rotating joint design and the incision pattern in the flexible material. in vitro experiments validated the passive navigation ability of the fce in rugged intestinal tracts. further, the fce demonstrates consistent reptile-like peristalsis under the influence of an external magnetic field, and possesses the capability for film expansion and disintegration under high-frequency electromagnetic stimulation. these findings illuminate a promising path toward amplifying the therapeutic capacities of capsule endoscopes without necessitating a size compromise.",2024-05-12
"41",41,"nanophotonic oscillators for laser conversion beyond an octave","grant m. brodnik, haixin liu, david r. carlson, jennifer a. black, scott b. papp","optics (physics.optics)","many uses of lasers place the highest importance on access to specific wavelength bands. for example, mobilizing optical-atomic clocks for a leap in sensing requires compact lasers at frequencies spread across the visible and near infrared. integrated photonics enables high-performance, scalable laser platforms, however, customizing laser-gain media to support wholly new bands is challenging and often prohibitively mismatched in scalability to early quantum-based sensing and information systems. here, we demonstrate a microresonator optical-parametric oscillator (opo) that converts a pump laser to an output wave within a frequency span exceeding an octave. we achieve phase matching for oscillation by nanopatterning the microresonator to open a photonic-crystal bandgap on the mode of the pump laser. by adjusting the nanophotonic pattern and hence the bandgap, the ratio of output opo wave frequency span to required pump laser tuning is more than ,. we also demonstrate tuning the oscillator in free-spectral-range steps, more finely with temperature, and minimal additive frequency noise of the laser-conversion process. our work shows that nanophotonics offers control of laser conversion in microresonators, bridging phase-matching of nonlinear optics and application requirements for laser designs.",2024-05-10
"42",42,"rna secondary structure prediction using transformer-based deep learning models","yanlin zhou, tong zhan, yichao wu, bo song, chenxi shi","biomolecules (q-bio.bm)","the human genome project has led to an exponential increase in data related to the sequence, structure, and function of biomolecules. bioinformatics is an interdisciplinary research field that primarily uses computational methods to analyze large amounts of biological macromolecule data. its goal is to discover hidden biological patterns and related information. furthermore, analysing additional relevant information can enhance the study of biological operating mechanisms. this paper discusses the fundamental concepts of rna, rna secondary structure, and its prediction.subsequently, the application of machine learning technologies in predicting the structure of biological macromolecules is explored. this chapter describes the relevant knowledge of algorithms and computational complexity and presents a rna tertiary structure prediction algorithm based on resnet. to address the issue of the current scoring function's unsuitability for long rna, a scoring model based on resnet is proposed, and a structure prediction algorithm is designed. the chapter concludes by presenting some open and interesting challenges in the field of rna tertiary structure prediction.",2024-04-14
"43",43,"a numerical code for the analysis of magnetic white dwarf spectra that includes field effects on the chemical equilibrium","matías vera-rueda, rené d. rohrmann","solar and stellar astrophysics (astro-ph.sr)","we present a new magnetic-atmosphere model code for obtaining synthetic spectral fluxes of hydrogen-rich magnetic white dwarfs. to date, observed spectra have been analyzed with models that neglect the magnetic field's effects on the atomic populations. in this work, we incorporate state-of-art theory in the evaluation of numerical densities of atoms, free electrons, and ions in local thermodynamical equilibrium under the action of a magnetic field. the energy distribution of atoms is rigorously evaluated for arbitrary field strength. this energy pattern includes going from tightly bound states to metastable or truly bound, highly excited states embedded in the continuum, that is, over the first landau level. finite nuclear mass effects and the coupling between the internal atomic structure and the motion of the atom across the magnetic field are also considered. synthetic fluxes are generated with integrations of numerical solutions of polarized radiative transfer over the visible stellar disk using a spherical t-design method. the atmosphere code is tested with observations from the sloan digital sky survey for a group of known magnetic white dwarfs. physical stellar parameters are obtained from least-squares fits to the observed energy distribution and compared with results of previous works. we show that the use of zerofield ionization equilibrium in spectral analyses can lead to underestimated effective temperatures for highly magnetic white dwarfs.",2024-05-10
"44",44,"automatic structural search of tensor network states including entanglement renormalization","ryo watanabe, hiroshi ueda","quantum physics (quant-ph)","tensor network (tn) states, including entanglement renormalization (er), can encompass a wider variety of entangled states. when the entanglement structure of the quantum state of interest is non-uniform in real space, accurately representing the state with a limited number of degrees of freedom hinges on appropriately configuring the tn to align with the entanglement pattern. however, a proposal has yet to show a structural search of er due to its high computational cost and the lack of flexibility in its algorithm. in this study, we conducted an optimal structural search of tn, including er, based on the reconstruction of their local structures with respect to variational energy. firstly, we demonstrated that our algorithm for the spin-$/$ tetramer singlets model could calculate exact ground energy using the multi-scale entanglement renormalization ansatz (mera) structure as an initial tn structure. subsequently, we applied our algorithm to the random xy models with the two initial structures: mera and the suitable structure underlying the strong disordered renormalization group. we found that, in both cases, our algorithm achieves improvements in variational energy, fidelity, and entanglement entropy. the degree of improvement in these quantities is superior in the latter case compared to the former, suggesting that utilizing an existing tn design method as a preprocessing step is important for maximizing our algorithm's performance.",2024-05-10
"45",45,"attention is all they need: cognitive science and the (techno)political economy of attention in humans and machines","pablo gonzález de la torre, marta pérez-verdugo, xabier e. barandiaran","computers and society (cs.cy)","this paper critically analyses the ""attention economy"" within the framework of cognitive science and techno-political economics, as applied to both human and machine interactions. we explore how current business models, particularly in digital platform capitalism, harness user engagement by strategically shaping attentional patterns. these platforms utilize advanced ai and massive data analytics to enhance user engagement, creating a cycle of attention capture and data extraction. we review contemporary (neuro)cognitive theories of attention and platform engagement design techniques and criticize classical cognitivist and behaviourist theories for their inadequacies in addressing the potential harms of such engagement on user autonomy and wellbeing. e approaches to cognitive science, instead, emphasizing the embodied, extended, enactive, and ecological aspects of cognition, offer us an intrinsic normative standpoint and a more integrated understanding of how attentional patterns are actively constituted by adaptive digital environments. by examining the precarious nature of habit formation in digital contexts, we reveal the techno-economic underpinnings that threaten personal autonomy by disaggregating habits away from the individual, into an ai managed collection of behavioural patterns. our current predicament suggests the necessity of a paradigm shift towards an ecology of attention. this shift aims to foster environments that respect and preserve human cognitive and social capacities, countering the exploitative tendencies of cognitive capitalism.",2024-05-10
"46",46,"electromagnetic property sensing in isac with multiple base stations: algorithm, pilot design,and performance analysis","yuhua jiang, feifei gao, shi jin, tiejun cui","signal processing (eess.sp)","integrated sensing and communication (isac) has opened up numerous game-changing opportunities for future wireless systems. in this paper, we develop a novel scheme that utilizes orthogonal frequency division multiplexing (ofdm) pilot signals to sense the electromagnetic (em) property of the target and thus identify the materials of the target. specifically, we first establish an em wave propagation model with maxwell equations, where the em property of the target is captured by a closed-form expression of the channel. we then build the mathematical model for the relative permittivity and conductivity distribution (rpcd) within a predetermined region of interest shared by multiple base stations (bss). based on the em wave propagation model, we propose an em property sensing method, in which the rpcd can be reconstructed from compressive sensing techniques that exploits the joint sparsity structure of the em property vector. we then develop a fusion algorithm to combine data from multiple bss, which can enhance the reconstruction accuracy of em property by efficiently integrating diverse measurements. moreover, the fusion is performed at the feature level of rpcd and features low transmission overhead. we further design the pilot signals that can minimize the mutual coherence of the equivalent channels and enhance the diversity of incident em wave patterns. simulation results demonstrate the efficacy of the proposed method in achieving high-quality rpcd reconstruction and accurate material classification.",2024-05-10
"47",47,"lost in transcription: identifying and quantifying the accuracy biases of automatic speech recognition systems against disfluent speech","dena mujtaba, nihar r. mahapatra, megan arney, j. scott yaruss, hope gerlach-houck, caryn herring, jia bin","computation and language (cs.cl)","automatic speech recognition (asr) systems, increasingly prevalent in education, healthcare, employment, and mobile technology, face significant challenges in inclusivity, particularly for the  million-strong global community of people who stutter. these systems often fail to accurately interpret speech patterns deviating from typical fluency, leading to critical usability issues and misinterpretations. this study evaluates six leading asrs, analyzing their performance on both a real-world dataset of speech samples from individuals who stutter and a synthetic dataset derived from the widely-used librispeech benchmark. the synthetic dataset, uniquely designed to incorporate various stuttering events, enables an in-depth analysis of each asr's handling of disfluent speech. our comprehensive assessment includes metrics such as word error rate (wer), character error rate (cer), and semantic accuracy of the transcripts. the results reveal a consistent and statistically significant accuracy bias across all asrs against disfluent speech, manifesting in significant syntactical and semantic inaccuracies in transcriptions. these findings highlight a critical gap in current asr technologies, underscoring the need for effective bias mitigation strategies. addressing this bias is imperative not only to improve the technology's usability for people who stutter but also to ensure their equitable and inclusive participation in the rapidly evolving digital landscape.",2024-05-10
"48",48,"clustering-based multitasking deep neural network for solar photovoltaics power generation prediction","hui song, zheng miao, ali babalhavaeji, saman mehrnia, mahdi jalili, xinghuo yu","machine learning (cs.lg)","the increasing installation of photovoltaics (pv) cells leads to more generation of renewable energy sources (res), but results in increased uncertainties of energy scheduling. predicting pv power generation is important for energy management and dispatch optimization in smart grid. however, the pv power generation data is often collected across different types of customers (e.g., residential, agricultural, industrial, and commercial) while the customer information is always de-identified. this often results in a forecasting model trained with all pv power generation data, allowing the predictor to learn various patterns through intra-model self-learning, instead of constructing a separate predictor for each customer type. in this paper, we propose a clustering-based multitasking deep neural network (cm-dnn) framework for pv power generation prediction. k-means is applied to cluster the data into different customer types. for each type, a deep neural network (dnn) is employed and trained until the accuracy cannot be improved. subsequently, for a specified customer type (i.e., the target task), inter-model knowledge transfer is conducted to enhance its training accuracy. during this process, source task selection is designed to choose the optimal subset of tasks (excluding the target customer), and each selected source task uses a coefficient to determine the amount of dnn model knowledge (weights and biases) transferred to the aimed prediction task. the proposed cm-dnn is tested on a real-world pv power generation dataset and its superiority is demonstrated by comparing the prediction performance on training the dataset with a single model without clustering.",2024-05-09
"49",49,"beam steering by two vertically faced metasurfaces using polarization-free unit cells with three operating modes","mohammadreza jahangiri, hossein soleimani, mohammad soleimani","applied physics (physics.app-ph)","intelligent reflecting surfaces (irs) are valuable tools for enhancing the intelligence of the propagation environment. they have the ability to direct em waves to a specific user through beamforming. a significant number of passive elements are integrated into metasurfaces, allowing for their incorporation onto various surfaces such as walls and buildings. in certain situations, metasurfaces may need to be installed on surfaces that are not flat, such as surfaces with curves or surfaces with two sides. in this work, a unit cell with three polarization modes, consisting of absorption, reflection, and a -bit phase shift, is designed and investigated. the unit cell in the nonplanar metasurface is composed of two vertical surfaces. a mathematical model is used to analyze two vertically-faced metasurfaces. the results include s parameter values and full structure. it is demonstrated that both absorption reflection mode and phase shift mode are achieved within a specific frequency band. the simulations demonstrate that an appropriate absorption level, reaching - db, is achieved in absorption mode. in reflection mode, a -degree phase shift is achieved within the same frequency band. reports on the radiation pattern of two vertically faced structures indicate that there is no quantized beam when there is a one-bit phase shift.",2024-05-05
"50",50,"deep-learning design of graphene metasurfaces for quantum control and dirac electron holography","chen-di han, li-li ye, zin lin, vassilios kovanis, ying-cheng lai","computational physics (physics.comp-ph)","metasurfaces are sub-wavelength patterned layers for controlling waves in physical systems. in optics, meta-surfaces are created by materials with different dielectric constants and are capable of unconventional functionalities. we develop a deep-learning framework for dirac-material metasurface design for controlling electronic waves. the metasurface is a configuration of circular graphene quantum dots, each created by an electric potential. employing deep convolutional neural networks, we show that the original scattering wave can be reconstructed with fidelity over $\%$, suggesting the feasibility of dirac electron holography. additional applications such as plane wave generation, designing broadband, and multi-functionality graphene metasurface systems are illustrated.",2024-05-01
"51",51,"adaptive extraction network for multivariate long sequence time-series forecasting","dandan zhang, yun wang","machine learning (cs.lg)","models employing cnn architecture have made significant progress in multivariate long sequence time-series forecasting (mlstf), particularly in modeling local time series characteristics. however, during the mlstf process, extracting the global time series patterns and understanding the correlations among different variables are highly significant. to address this challenge, we introduce multi-resolution convolution and deformable convolution operations. by enlarging the receptive field using convolution kernels with different dilation factors to capture temporal correlation information across different resolutions, and adaptively adjusting the sampling positions through additional offset vectors, we enhance the network's ability to capture correlated features between variables. building upon this, we propose atvcnet, an adaptive temporal-variable convolutional network designed to effectively model the local/global temporal dependencies and inter-variable dependencies of multivariate time series. specifically, extracting and fusing time series features at different resolutions, captures both local contextual information and global patterns in the time series. the designed inter-variable feature adaptive extraction module captures the correlation among different variables in the time series. we evaluated the performance of atvcnet across eight real-world datasets. the results indicate that atvcnet achieved a performance improvement of approximately .% over state-of-the-art mlstf models.",2024-05-20
"52",52,"quantifying individual and joint module impact in modular optimization frameworks","ana nikolikj, ana kostovska, diederick vermetten, carola doerr, tome eftimov","neural and evolutionary computing (cs.ne)","this study explores the influence of modules on the performance of modular optimization frameworks for continuous single-objective black-box optimization. there is an extensive variety of modules to choose from when designing algorithm variants, however, there is a rather limited understanding of how each module individually influences the algorithm performance and how the modules interact with each other when combined. we use the functional anova (f-anova) framework to quantify the influence of individual modules and module combinations for two algorithms, the modular covariance matrix adaptation (modcma) and the modular differential evolution (modde). we analyze the performance data from  modcma and  modde variants on the bbob benchmark collection, for two problem dimensions, and three computational budgets. noteworthy findings include the identification of important modules that strongly influence the performance of modcma, such as the~\textit{weights\ option} and~\textit{mirrored} modules for low dimensional problems, and the~\textit{base\ sampler} for high dimensional problems. the large individual influence of the~\textit{lpsr} module makes it very important for the performance of modde, regardless of the problem dimensionality and the computational budget. when comparing modcma and modde, modde undergoes a shift from individual modules being more influential, to module combinations being more influential, while modcma follows the opposite pattern, with an increase in problem dimensionality and computational budget.",2024-05-20
"53",53,"depth prompting for sensor-agnostic depth estimation","jin-hwi park, chanhwi jeong, junoh lee, hae-gon jeon","computer vision and pattern recognition (cs.cv)","dense depth maps have been used as a key element of visual perception tasks. there have been tremendous efforts to enhance the depth quality, ranging from optimization-based to learning-based methods. despite the remarkable progress for a long time, their applicability in the real world is limited due to systematic measurement biases such as density, sensing pattern, and scan range. it is well-known that the biases make it difficult for these methods to achieve their generalization. we observe that learning a joint representation for input modalities (e.g., images and depth), which most recent methods adopt, is sensitive to the biases. in this work, we disentangle those modalities to mitigate the biases with prompt engineering. for this, we design a novel depth prompt module to allow the desirable feature representation according to new depth distributions from either sensor types or scene configurations. our depth prompt can be embedded into foundation models for monocular depth estimation. through this embedding process, our method helps the pretrained model to be free from restraint of depth scan range and to provide absolute scale depth maps. we demonstrate the effectiveness of our method through extensive evaluations. source code is publicly available at this https url .",2024-05-20
"54",54,"tinyllava factory: a modularized codebase for small-scale large multimodal models","junlong jia, ying hu, xi weng, yiming shi, miao li, xingjian zhang, baichuan zhou, ziyu liu, jie luo, lei huang, ji wu","machine learning (cs.lg)","we present tinyllava factory, an open-source modular codebase for small-scale large multimodal models (lmms) with a focus on simplicity of code implementations, extensibility of new features, and reproducibility of training results. following the design philosophy of the factory pattern in software engineering, tinyllava factory modularizes the entire system into interchangeable components, with each component integrating a suite of cutting-edge models and methods, meanwhile leaving room for extensions to more features. in addition to allowing users to customize their own lmms, tinyllava factory provides popular training recipes to let users pretrain and finetune their models with less coding effort. empirical experiments validate the effectiveness of our codebase. the goal of tinyllava factory is to assist researchers and practitioners in exploring the wide landscape of designing and training small-scale lmms with affordable computational resources.",2024-05-20
"55",55,"analyze additive and interaction effects via collaborative trees","chien-ming chi","methodology (stat.me)","we present collaborative trees, a novel tree model designed for regression prediction, along with its bagging version, which aims to analyze complex statistical associations between features and uncover potential patterns inherent in the data. we decompose the mean decrease in impurity from the proposed tree model to analyze the additive and interaction effects of features on the response variable. additionally, we introduce network diagrams to visually depict how each feature contributes additively to the response and how pairs of features contribute interaction effects. through a detailed demonstration using an embryo growth dataset, we illustrate how the new statistical tools aid data analysis, both visually and numerically. moreover, we delve into critical aspects of tree modeling, such as prediction performance, inference stability, and bias in feature importance measures, leveraging real datasets and simulation experiments for comprehensive discussions. on the theory side, we show that collaborative trees, built upon a ``sum of trees'' approach with our own innovative tree model regularization, exhibit characteristics akin to matching pursuit, under the assumption of high-dimensional independent binary input features (or one-hot feature groups). this newfound link sheds light on the superior capability of our tree model in estimating additive effects of features, a crucial factor for accurate interaction effect estimation.",2024-05-19
"56",56,"mediclip: adapting clip for few-shot medical image anomaly detection","ximiao zhang, min xu, dehui qiu, ruixin yan, ning lang, xiuzhuang zhou","computer vision and pattern recognition (cs.cv)","in the field of medical decision-making, precise anomaly detection in medical imaging plays a pivotal role in aiding clinicians. however, previous work is reliant on large-scale datasets for training anomaly detection models, which increases the development cost. this paper first focuses on the task of medical image anomaly detection in the few-shot setting, which is critically significant for the medical field where data collection and annotation are both very expensive. we propose an innovative approach, mediclip, which adapts the clip model to few-shot medical image anomaly detection through self-supervised fine-tuning. although clip, as a vision-language model, demonstrates outstanding zero-/fewshot performance on various downstream tasks, it still falls short in the anomaly detection of medical images. to address this, we design a series of medical image anomaly synthesis tasks to simulate common disease patterns in medical imaging, transferring the powerful generalization capabilities of clip to the task of medical image anomaly detection. when only few-shot normal medical images are provided, mediclip achieves state-of-the-art performance in anomaly detection and location compared to other methods. extensive experiments on three distinct medical anomaly detection tasks have demonstrated the superiority of our approach. the code is available at this https url.",2024-05-18
"57",57,"simad: a simple dissimilarity-based approach for time series anomaly detection","zhijie zhong, zhiwen yu, xing xi, yue xu, jiahui chen, kaixiang yang","machine learning (cs.lg)","despite the prevalence of reconstruction-based deep learning methods, time series anomaly detection remains challenging. existing approaches often struggle with limited temporal contexts, inadequate representation of normal patterns, and flawed evaluation metrics, hindering their effectiveness in identifying aberrant behavior. to address these issues, we introduce $\textbf{simad}$, a $\textbf{sim}$ple dissimilarity-based approach for time series $\textbf{a}$nomaly $\textbf{d}$etection. simad incorporates an advanced feature extractor adept at processing extended temporal windows, utilizes the embedpatch encoder to integrate normal behavioral patterns comprehensively, and introduces an innovative contrastfusion module designed to accentuate distributional divergences between normal and abnormal data, thereby enhancing the robustness of anomaly discrimination. additionally, we propose two robust evaluation metrics, uaff and naff, addressing the limitations of existing metrics and demonstrating their reliability through theoretical and experimental analyses. experiments across $\textbf{seven}$ diverse time series datasets demonstrate simad's superior performance compared to state-of-the-art methods, achieving relative improvements of $\textbf{.%}$ on f, $\textbf{.%}$ on aff-f, $\textbf{.%}$ on naff-f, and $\textbf{.%}$ on auc on six multivariate datasets. code and pre-trained models are available at this https url.",2024-05-18
"58",58,"simulation and design of isostatic thick origami structures","andrea micheletti, alessandro tiero, giuseppe tomassetti","soft condensed matter (cond-mat.soft)","thick origami structures are considered here as assemblies of polygonal panels hinged to each other along their edges according to a corresponding origami crease pattern. the determination of the internal actions caused by external loads in such structures is not an easy task, owing to their high degree of static indeterminacy, and the likelihood of unwanted self-balanced internal actions induced by manufacturing imperfections. here we present a method for reducing the degree of static indeterminacy which can be applied to several thick origami structures to make them isostatic. the method utilizes sliding hinges, which permit also the relative translation along the hinge axis, to replace conventional hinges. after giving the analytical description of both types of hinges and describing a rigid folding simulation procedure based on the integration of the exponential map, we present the static analysis of a series of noteworthy examples based on the miura-ori pattern, the yoshimura pattern, and the kresling pattern. the method can be applied for the design and realization of thick origami structures with adequate strength to resist external actions.",2024-04-28
"59",59,"vqdna: unleashing the power of vector quantization for multi-species genomic sequence modeling","siyuan li, zedong wang, zicheng liu, di wu, cheng tan, jiangbin zheng, yufei huang, stan z. li","genomics (q-bio.gn)","similar to natural language models, pre-trained genome language models are proposed to capture the underlying intricacies within genomes with unsupervised sequence modeling. they have become essential tools for researchers and practitioners in biology. however, the \textit{hand-crafted} tokenization policies used in these models may not encode the most discriminative patterns from the limited vocabulary of genomic data. in this paper, we introduce vqdna, a general-purpose framework that renovates genome tokenization from the perspective of genome vocabulary learning. by leveraging vector-quantized codebook as \textit{learnable} vocabulary, vqdna can adaptively tokenize genomes into \textit{pattern-aware} embeddings in an end-to-end manner. to further push its limits, we propose hierarchical residual quantization (hrq), where varying scales of codebooks are designed in a hierarchy to enrich the genome vocabulary in a coarse-to-fine manner. extensive experiments on  genome datasets demonstrate vqdna's superiority and favorable parameter efficiency compared to existing genome language models. notably, empirical analysis of sars-cov- mutations reveals the fine-grained pattern awareness and biological significance of learned hrq vocabulary, highlighting its untapped potential for broader applications in genomics.",2024-05-13
